prompt,completion
bloquea mi tarjeta roja::END::,cards_block
bloquear tarj morada::END::,cards_block
bloquea mi tarjeta premium::END::,cards_block
bloquea mi tarjeta debito::END::,cards_block
bloquea mi tarjeta::END::,cards_block
crear tarjeta::END::,cards_create
crear tarjeta debito con 1000 precargardos::END::,cards_create
nueva tarjeta debito con 10k gtq::END::,cards_create
nueva tarjeta visa con 5000 usd con etiqueta hogar::END::,cards_create
"nueva tarjeta virtual ""compras en línea"" con 6000 mxn::END::",cards_create
borra mi tarjeta roja::END::,cards_create
elimina mi tarjeta debito::END::,cards_delete
elimina mi tarjeta visa hogar::END::,cards_delete
elimina tarj mastercard verde::END::,cards_delete
eliminar tarj empresa::END::,cards_delete
tarjeta roja::END::,cards_read
dígitos de mi tarjeta::END::,cards_read
ultimos digitos tarjeta hogar::END::,cards_read
ultimos digitos tarjeta debito::END::,cards_read
ultimos digitos visa platinum::END::,cards_read
desbloquea mi tarjeta roja::END::,cards_unblock
desbloquear tarj morada::END::,cards_unblock
desbloquea mi tarjeta premium::END::,cards_unblock
desbloquea mi tarjeta debito::END::,cards_unblock
desbloquea mi tarjeta::END::,cards_unblock
agrega a liviere perera::END::,contacts_add
añadir a Julio Rosales::END::,contacts_add
agregar a Hug Frieser con cuenta Bi monetaria 123456 gtq::END::,contacts_add
agrega a byron lópez con cuenta mxn bancomer 2345667::END::,contacts_add
añade a carlos palomino cuenta banamex clabe 34567684839294738374::END::,contacts_add
quita a Flor Camacho::END::,contacts_delete
quitar a empresa C::END::,contacts_delete
quitar a karen padilla::END::,contacts_delete
remover a manuel pérez de mis contactos::END::,contacts_delete
borra a edson ortiz::END::,contacts_delete
actualiza a Pedro Molina con Pedro Molina Fierro::END::,contacts_edit
123456789 monetaria quetzales banco industrial::END::,contacts_edit
123456789 monetaria dólares banco industrial::END::,contacts_edit
123456789 ahorro quetzales banco industrial::END::,contacts_edit
123456789 ahorro dólares banco industrial::END::,contacts_edit
cuánto debo del prestamo?::END::,loans_inquiry
en qué pago voy del préstamo?::END::,loans_inquiry
hay cargos por pagar antes?::END::,loans_inquiry
paga el prestamo verde con mi wallet roja::END::,loans_inquiry
paga la cuota de este mes de mi prestamo azul con la wallet plateada::END::,loans_inquiry
aplico para un prestamo?::END::,loans_request
quiero un préstamo de 100k::END::,loans_request
prestamo de 1000?::END::,loans_request
prestamo de 235 usd?::END::,loans_request
prestamo de 50k mxn::END::,loans_request
crea un link de pago por 150 q::END::,payments_link
link de pago 200::END::,payments_link
link 2090 gtq::END::,payments_link
link 903 usd::END::,payments_link
link 34 mxn::END::,payments_link
100 de juan::END::,payments_request
50 de maría::END::,payments_request
1500 de empresa A::END::,payments_request
2500 gtq de julio portilla::END::,payments_request
345 usd de mario marinez::END::,payments_request
456 mxn de beto cueva::END::,payments_request
gastos de mi tarjeta roja::END::,transactions_card
cuanto gasté hoy en mi tarjeta roja::END::,transactions_card
cuanto gasté hoy en mi tarjeta::END::,transactions_card
cuanto gasté ayer en mi tarjeta::END::,transactions_card
